"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://ditex.com.pl/kategoria-produktu/roger-technology/bramy-skrzydlowe/230v-ac-bramy-skrzydlowe/","1","230V AC - Ditex.com.pl","22","204","Indexable",""
"https://ditex.com.pl/kategoria-produktu/roger-technology/przesuwne/230v-ac/","1","230V AC - Ditex.com.pl","22","204","Indexable",""
"https://ditex.com.pl/kategoria-produktu/bmp-europe/pozostale/","1","Akcesoria - Ditex.com.pl","24","215","Indexable",""
"https://ditex.com.pl/kategoria-produktu/amtr/akcesoria-amtr/","1","Akcesoria - Ditex.com.pl","24","215","Indexable",""
"https://ditex.com.pl/do-pobrania/roger-technology/broszury/","1","Broszury - Ditex.com.pl","23","204","Indexable",""
"https://ditex.com.pl/do-pobrania/amtr/biuletyny/","1","Broszury - Ditex.com.pl","23","204","Indexable",""
"https://ditex.com.pl/do-pobrania/roger-technology/dokumentacje-techniczne/","1","Dokumentacje techniczne - Ditex.com.pl","38","358","Indexable",""
"https://ditex.com.pl/do-pobrania/bmp/karty-katalogowe/","1","Dokumentacje techniczne - Ditex.com.pl","38","358","Indexable",""
"https://ditex.com.pl/do-pobrania/ngr/karty-katalogowe/","1","Karty katalogowe - Ditex.com.pl","31","282","Indexable",""
"https://ditex.com.pl/do-pobrania/bmp/biuletyny/","1","Karty katalogowe - Ditex.com.pl","31","282","Indexable",""
"https://ditex.com.pl/katalog-produktow/","1","Katalog produktów - Ditex.com.pl","32","295","Indexable",""
"https://ditex.com.pl/do-pobrania/ngr/biuletyny/","1","Katalog produktów - Ditex.com.pl","32","295","Indexable",""
"https://ditex.com.pl/do-pobrania/bmp/katalog-produktow/","1","Katalog produktów - Ditex.com.pl","32","295","Indexable",""
"https://ditex.com.pl/do-pobrania/roger-technology/logotypy/","1","Logotypy - Ditex.com.pl","23","207","Indexable",""
"https://ditex.com.pl/do-pobrania/amtr/logotypy/","1","Logotypy - Ditex.com.pl","23","207","Indexable",""
"https://ditex.com.pl/do-pobrania/bmp/logotypy/","1","Logotypy - Ditex.com.pl","23","207","Indexable",""
"https://ditex.com.pl/kategoria-produktu/oferta-specjalna/moduly-wi-fi-oferta-specjalna/","1","Moduły Wi-Fi - Ditex.com.pl","27","241","Indexable",""
"https://ditex.com.pl/kategoria-produktu/roger-technology/akcesoria/akcesoria-opcjonalne/moduly-wi-fi/","1","MODUŁY WI-FI - Ditex.com.pl","27","257","Indexable",""
"https://ditex.com.pl/blog/przelom-w-branzy-automatyki-bramowej-cyfrowe-silniki-bezszczotkowe/","1","PRZEŁOM W BRANŻY AUTOMATYKI BRAMOWEJ, CYFROWE SILNIKI BEZSZCZOTKOWE - Ditex.com.pl","82","903","Indexable",""
"https://ditex.com.pl/blog/przelom-w-branzy-automatyki-bramowej-cyfrowe-silniki-bezszczotkowe-2/","1","PRZEŁOM W BRANŻY AUTOMATYKI BRAMOWEJ, CYFROWE SILNIKI BEZSZCZOTKOWE - Ditex.com.pl","82","903","Indexable",""
